State,Year,TurnoutRate
Idaho,2014,0.39770000000000005
Illinois,2014,0.40950000000000003
Indiana,2014,0.2889
Iowa,2014,0.5033
Kansas,2014,0.4341
Kentucky,2014,0.4489
Louisiana,2014,0.4493
Maine,2014,0.5859000000000001
Maryland,2014,0.4213
Massachusetts,2014,0.4459
Michigan,2014,0.43170000000000003
Minnesota,2014,0.5085000000000001
Mississippi,2014,0.2907
Missouri,2014,0.3371
Montana,2014,0.4753
Nebraska,2014,0.4154
Nevada,2014,0.29469999999999996
New Hampshire,2014,0.4804
New Jersey,2014,0.3283
New Mexico,2014,0.3578
New York,2014,0.2913
North Carolina,2014,0.4122
North Dakota,2014,0.4571
Ohio,2014,0.3619
Oklahoma,2014,0.3002
Oregon,2014,0.5325
Pennsylvania,2014,0.365
Rhode Island,2014,0.4225
South Carolina,2014,0.3517
South Dakota,2014,0.4551
Tennessee,2014,0.2975
Texas,2014,0.2811
Utah,2014,0.3042
Vermont,2014,0.4105
Virginia,2014,0.369
Washington,2014,0.4296
West Virginia,2014,0.3214
Wisconsin,2014,0.5700999999999999
Wyoming,2014,0.401
United States,2012,0.5857
Alabama,2012,0.5888
Alaska,2012,0.5889
Arizona,2012,0.5291
Arkansas,2012,0.5107
California,2012,0.5585
Colorado,2012,0.7062999999999999
Connecticut,2012,0.613
Delaware,2012,0.6307
District Of Columbia,2012,0.6136
Florida,2012,0.6332
Georgia,2012,0.5943999999999999
Hawaii,2012,0.4436
Idaho,2012,0.6113000000000001
Illinois,2012,0.5922999999999999
Indiana,2012,0.5604
Iowa,2012,0.706
Kansas,2012,0.5825
Kentucky,2012,0.5613
Louisiana,2012,0.6086
Maine,2012,0.6938
Maryland,2012,0.6729999999999999
Massachusetts,2012,0.66
Michigan,2012,0.6525
Minnesota,2012,0.765
Mississippi,2012,0.5934
Missouri,2012,0.6411
Montana,2012,0.6364
Nebraska,2012,0.6114999999999999
Nevada,2012,0.5661999999999999
New Hampshire,2012,0.7073999999999999
New Jersey,2012,0.6241
New Mexico,2012,0.5466
New York,2012,0.5351
North Carolina,2012,0.6534
North Dakota,2012,0.6052000000000001
Ohio,2012,0.6513
Oklahoma,2012,0.4947
Oregon,2012,0.6428
Pennsylvania,2012,0.599
Rhode Island,2012,0.5849
South Carolina,2012,0.5690999999999999
South Dakota,2012,0.6019
Tennessee,2012,0.5236
Texas,2012,0.49570000000000003
Utah,2012,0.5617
Vermont,2012,0.6124
Virginia,2012,0.6672
Washington,2012,0.6583
West Virginia,2012,0.47350000000000003
Wisconsin,2012,0.7337
Wyoming,2012,0.5903
United States,2010,0.40990000000000004
Alabama,2010,0.431
Alaska,2010,0.5292
Arizona,2010,0.4144
Arkansas,2010,0.37929999999999997
California,2010,0.46130000000000004
Colorado,2010,0.5192
Connecticut,2010,0.4593
Delaware,2010,0.48979999999999996
District Of Columbia,2010,0.29469999999999996
Florida,2010,0.42210000000000003
Georgia,2010,0.4102
Hawaii,2010,0.4021
Idaho,2010,0.4339
Illinois,2010,0.43200000000000005
Indiana,2010,0.3812
Iowa,2010,0.5086999999999999
Kansas,2010,0.4289
Kentucky,2010,0.445
Louisiana,2010,0.3994
Maine,2010,0.5589
Maryland,2010,0.4698
Massachusetts,2010,0.4953
Michigan,2010,0.4508
Minnesota,2010,0.5606
Mississippi,2010,0.3678
Missouri,2010,0.4556
Montana,2010,0.484
Nebraska,2010,0.38659999999999994
Nevada,2010,0.4127
New Hampshire,2010,0.4608
New Jersey,2010,0.3786
New Mexico,2010,0.4462
New York,2010,0.3635
North Carolina,2010,0.3985
North Dakota,2010,0.4664
Ohio,2010,0.4618
Oklahoma,2010,0.39039999999999997
Oregon,2010,0.5388000000000001
Pennsylvania,2010,0.4241
Rhode Island,2010,0.4535
South Carolina,2010,0.4033
South Dakota,2010,0.5405
Tennessee,2010,0.34950000000000003
Texas,2010,0.32770000000000005
Utah,2010,0.368
Vermont,2010,0.4984
Virginia,2010,0.3901
Washington,2010,0.5474
West Virginia,2010,0.3715
Wisconsin,2010,0.5251
Wyoming,2010,0.45770000000000005
United States,2008,0.6217
Alabama,2008,0.6093999999999999
Alaska,2008,0.6825
Arizona,2008,0.5735
Arkansas,2008,0.5291
California,2008,0.6171
Colorado,2008,0.716
Delaware,2008,0.6579999999999999
District Of Columbia,2008,0.6173
Florida,2008,0.6665000000000001
Georgia,2008,0.627
Hawaii,2008,0.49060000000000004
Idaho,2008,0.6485
Illinois,2008,0.6422
Indiana,2008,0.603
Iowa,2008,0.6962999999999999
Kansas,2008,0.6344
Kentucky,2008,0.5896
Louisiana,2008,0.6178
Maine,2008,0.7184999999999999
Maryland,2008,0.6779999999999999
Massachusetts,2008,0.6729
Michigan,2008,0.6968000000000001
Minnesota,2008,0.7809
Missouri,2008,0.6820999999999999
Montana,2008,0.6706
Nebraska,2008,0.6365999999999999
Nevada,2008,0.5717
New Hampshire,2008,0.7251000000000001
New Jersey,2008,0.6770999999999999
New Mexico,2008,0.6118
New York,2008,0.5965
North Carolina,2008,0.6616
North Dakota,2008,0.6363
Ohio,2008,0.6781999999999999
Oklahoma,2008,0.5633
Oregon,2008,0.6831999999999999
Pennsylvania,2008,0.6418
Rhode Island,2008,0.6223
South Carolina,2008,0.5822999999999999
South Dakota,2008,0.6559999999999999
Tennessee,2008,0.5739
Utah,2008,0.5709000000000001
Vermont,2008,0.677
Virginia,2008,0.6753
Washington,2008,0.6736
West Virginia,2008,0.5115999999999999
Wisconsin,2008,0.7273999999999999
Wyoming,2008,0.631
United States,2006,0.414
Alaska,2006,0.5167
Arizona,2006,0.40380000000000005
Arkansas,2006,0.3876
California,2006,0.41590000000000005
Colorado,2006,0.4875
Connecticut,2006,0.47479999999999994
Delaware,2006,0.4243
District Of Columbia,2006,0.2903
Florida,2006,0.3971
Georgia,2006,0.3567
Hawaii,2006,0.37729999999999997
Idaho,2006,0.46270000000000006
Illinois,2006,0.41869999999999996
Indiana,2006,0.3762
Iowa,2006,0.4914
Kansas,2006,0.44439999999999996
Kentucky,2006,0.4411
Louisiana,2006,0.3086
Maryland,2006,0.47
Massachusetts,2006,0.49560000000000004
Michigan,2006,0.5342
Minnesota,2006,0.6065
Missouri,2006,0.5121
Montana,2006,0.568
Nebraska,2006,0.4867
Nevada,2006,0.3641
New Hampshire,2006,0.4318
New Jersey,2006,0.40840000000000004
New Mexico,2006,0.4276
New York,2006,0.36950000000000005
North Carolina,2006,0.32280000000000003
North Dakota,2006,0.4457
Ohio,2006,0.4953
Oregon,2006,0.5364
Rhode Island,2006,0.521
South Carolina,2006,0.3514
South Dakota,2006,0.5931000000000001
Tennessee,2006,0.4211
Utah,2006,0.3593
Vermont,2006,0.551
Virginia,2006,0.4435
Washington,2006,0.47509999999999997
West Virginia,2006,0.3336
Wisconsin,2006,0.539
Wyoming,2006,0.5072
United States,2004,0.6086
Alabama,2004,0.5710999999999999
Alaska,2004,0.7003
Arizona,2004,0.557
Arkansas,2004,0.5428999999999999
California,2004,0.5985
Colorado,2004,0.6801999999999999
Connecticut,2004,0.6598999999999999
Delaware,2004,0.6412
District Of Columbia,2004,0.5573
Florida,2004,0.6428
Georgia,2004,0.5744
Hawaii,2004,0.48
Idaho,2004,0.6494
Illinois,2004,0.6293
Indiana,2004,0.5569
Iowa,2004,0.7051000000000001
Kansas,2004,0.6303
Kentucky,2004,0.5935
Louisiana,2004,0.6041
Maine,2004,0.7473000000000001
Maryland,2004,0.6301
Massachusetts,2004,0.649
Michigan,2004,0.6767
Minnesota,2004,0.7896
Missouri,2004,0.6611
Montana,2004,0.6507
Nebraska,2004,0.6397999999999999
Nevada,2004,0.5465
New Hampshire,2004,0.7193
New Jersey,2004,0.6454000000000001
New Mexico,2004,0.6014
New York,2004,0.5892000000000001
North Carolina,2004,0.5856
North Dakota,2004,0.6466
Ohio,2004,0.6807
Oregon,2004,0.7298
Rhode Island,2004,0.5889
South Carolina,2004,0.5305
South Dakota,2004,0.6986
Tennessee,2004,0.5684
Utah,2004,0.6097
Vermont,2004,0.6686
Virginia,2004,0.61
Washington,2004,0.6772
West Virginia,2004,0.5468
Wisconsin,2004,0.755
Wyoming,2004,0.6545000000000001
United States,2002,0.4048
Alaska,2002,0.5392
Arizona,2002,0.3602
Arkansas,2002,0.41950000000000004
California,2002,0.377
Colorado,2002,0.46009999999999995
Connecticut,2002,0.45270000000000005
Florida,2002,0.45289999999999997
Hawaii,2002,0.4436
Idaho,2002,0.45840000000000003
Illinois,2002,0.43310000000000004
Indiana,2002,0.3513
Iowa,2002,0.4864
Kansas,2002,0.4473
Louisiana,2002,0.3987
Maryland,2002,0.4625
Massachusetts,2002,0.4927
Michigan,2002,0.4508
Montana,2002,0.5002
Nevada,2002,0.363
New Hampshire,2002,0.4876
New Jersey,2002,0.386
New Mexico,2002,0.4022
New York,2002,0.3736
North Dakota,2002,0.49439999999999995
Ohio,2002,0.402
Oregon,2002,0.5211
Rhode Island,2002,0.45439999999999997
South Dakota,2002,0.6146
Texas,2002,0.3414
Utah,2002,0.3809
Vermont,2002,0.5038
Virginia,2002,0.32299999999999995
Washington,2002,0.4391
West Virginia,2002,0.3153
Wyoming,2002,0.5145000000000001
United States,2000,0.5528
Alaska,2000,0.6881999999999999
Arizona,2000,0.4637
California,2000,0.5596
Connecticut,2000,0.6243
Florida,2000,0.5605
Georgia,2000,0.488
Hawaii,2000,0.43979999999999997
Idaho,2000,0.5902000000000001
Illinois,2000,0.5898
Indiana,2000,0.5102
Kansas,2000,0.5768
Kentucky,2000,0.5254
Louisiana,2000,0.5671
Maryland,2000,0.5595
Massachusetts,2000,0.6106
Michigan,2000,0.6045
Minnesota,2000,0.7106
Montana,2000,0.6267
Nebraska,2000,0.5853
Nevada,2000,0.4635
New Hampshire,2000,0.6382
New Jersey,2000,0.5932999999999999
New Mexico,2000,0.504
New York,2000,0.5616
North Carolina,2000,0.5224
North Dakota,2000,0.615
Ohio,2000,0.5786
Oregon,2000,0.6446999999999999
Rhode Island,2000,0.5608
South Carolina,2000,0.4926
South Dakota,2000,0.5905
Tennessee,2000,0.5036
Texas,2000,0.4962
Utah,2000,0.5465
Vermont,2000,0.6542
Virginia,2000,0.5540999999999999
Washington,2000,0.6257
Wyoming,2000,0.6212
United States,1998,0.3931
Alaska,1998,0.5556
Arizona,1998,0.3209
California,1998,0.4471
Connecticut,1998,0.43689999999999996
District Of Columbia,1998,0.34509999999999996
Florida,1998,0.3845
Georgia,1998,0.34590000000000004
Hawaii,1998,0.49579999999999996
Idaho,1998,0.4582
Illinois,1998,0.4275
Indiana,1998,0.3722
Iowa,1998,0.4606
Kansas,1998,0.3969
Kentucky,1998,0.4144
Louisiana,1998,0.3197
Maryland,1998,0.4362
Massachusetts,1998,0.43689999999999996
Michigan,1998,0.44880000000000003
Minnesota,1998,0.6231
Montana,1998,0.518
Nebraska,1998,0.4858
Nevada,1998,0.35700000000000004
New Hampshire,1998,0.3761
New Jersey,1998,0.344
New Mexico,1998,0.4313
New York,1998,0.4071
North Dakota,1998,0.4575
Ohio,1998,0.4289
Oregon,1998,0.4894
Rhode Island,1998,0.4279
South Carolina,1998,0.38659999999999994
South Dakota,1998,0.4982
Tennessee,1998,0.2507
Utah,1998,0.3666
Vermont,1998,0.5043
Washington,1998,0.4936
West Virginia,1998,0.2917
Wyoming,1998,0.5095000000000001
Alaska,1996,0.6065999999999999
Arizona,1996,0.4646
California,1996,0.5502
Connecticut,1996,0.6035
Delaware,1996,0.5246
District Of Columbia,1996,0.4743
Florida,1996,0.5325
Georgia,1996,0.4582
Hawaii,1996,0.4515
Idaho,1996,0.6157
Illinois,1996,0.5376
Indiana,1996,0.5104
Iowa,1996,0.5964
Kansas,1996,0.578
Kentucky,1996,0.493
Louisiana,1996,0.5842
Maryland,1996,0.5082
Massachusetts,1996,0.5932
Michigan,1996,0.5623
Minnesota,1996,0.6661
Montana,1996,0.6470999999999999
Nebraska,1996,0.578
Nevada,1996,0.41229999999999994
