Age,State,Income,Ethnicity,Education
55-64,Nevada,"$100,000 to $149,999",White,Bachelor's degree
35-44,Ohio,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
45-54,Alabama,"$50,000 to $74,999",White,Bachelor's degree
65+,Alabama,"$100,000 to $149,999",White,"Some college, no degree"
55-64,Illinois,"$50,000 to $74,999",White,"Some college, no degree"
55-64,Florida,"$100,000 to $149,999",White,Associate's degree
65+,Nebraska,"$150,000 or greater",White,Bachelor's degree
55-64,Kansas,"Less than $25,000",White,"Some college, no degree"
65+,Iowa,"Less than $25,000",White,Less than 9th grade
45-54,Pennsylvania,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
18-24,Idaho,"Less than $25,000",White,"Some college, no degree"
65+,Pennsylvania,"$25,000 to $49,999",White,High school graduate (includes equivalency)
55-64,New Jersey,"$50,000 to $74,999",Other,"Some college, no degree"
65+,California,"$75,000 to $99,999",Asian,Bachelor's degree
25-34,Texas,"Less than $25,000",HispanicOrLatino,High school graduate (includes equivalency)
65+,Virginia,"Less than $25,000",White,"Some college, no degree"
65+,Virginia,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,New York,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
35-44,Illinois,"$25,000 to $49,999",White,High school graduate (includes equivalency)
45-54,Oregon,"$25,000 to $49,999",Asian,High school graduate (includes equivalency)
65+,Missouri,"Less than $25,000",White,High school graduate (includes equivalency)
18-24,Ohio,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Idaho,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Maryland,"$25,000 to $49,999",White,"9th to 12th grade, no diploma"
65+,Virginia,"$150,000 or greater",White,Bachelor's degree
65+,Massachusetts,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
35-44,New Jersey,"$25,000 to $49,999",White,Bachelor's degree
35-44,Texas,"$100,000 to $149,999",White,"Some college, no degree"
55-64,Massachusetts,"$25,000 to $49,999",White,Bachelor's degree
25-34,Maryland,"$50,000 to $74,999",White,Bachelor's degree
55-64,Texas,"Less than $25,000",White,"Some college, no degree"
45-54,Indiana,"Less than $25,000",White,"Graduate degree, professional degree or PhD"
65+,Wisconsin,"$25,000 to $49,999",White,"Some college, no degree"
18-24,Texas,"$75,000 to $99,999",White,"9th to 12th grade, no diploma"
65+,Georgia,"Less than $25,000",White,"Some college, no degree"
65+,Indiana,"$25,000 to $49,999",White,Bachelor's degree
18-24,Kentucky,"$25,000 to $49,999",White,Associate's degree
55-64,Ohio,"$75,000 to $99,999",White,Bachelor's degree
55-64,Connecticut,"$25,000 to $49,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
45-54,Texas,"$25,000 to $49,999",HispanicOrLatino,Bachelor's degree
55-64,Illinois,"$100,000 to $149,999",White,"Some college, no degree"
65+,Florida,"$50,000 to $74,999",White,"Some college, no degree"
55-64,South Carolina,"Less than $25,000",Other,"Graduate degree, professional degree or PhD"
65+,Washington,"$25,000 to $49,999",White,Bachelor's degree
65+,Georgia,"$100,000 to $149,999",White,Bachelor's degree
45-54,Illinois,"$75,000 to $99,999",White,"Some college, no degree"
35-44,California,"$50,000 to $74,999",HispanicOrLatino,"Some college, no degree"
45-54,Oregon,"$25,000 to $49,999",White,"9th to 12th grade, no diploma"
18-24,Nevada,"$150,000 or greater",BlackOrAfricanAmerican,Less than 9th grade
55-64,Arizona,"Less than $25,000",White,High school graduate (includes equivalency)
18-24,North Carolina,"Less than $25,000",BlackOrAfricanAmerican,"Some college, no degree"
65+,Florida,"$100,000 to $149,999",White,Bachelor's degree
55-64,Texas,"Less than $25,000",BlackOrAfricanAmerican,"Graduate degree, professional degree or PhD"
65+,Ohio,"$50,000 to $74,999",White,Bachelor's degree
55-64,North Carolina,"$150,000 or greater",BlackOrAfricanAmerican,High school graduate (includes equivalency)
55-64,Pennsylvania,"Less than $25,000",White,Associate's degree
55-64,North Carolina,"Less than $25,000",White,"Some college, no degree"
45-54,Maryland,"$150,000 or greater",White,"Some college, no degree"
35-44,California,"Less than $25,000",White,Bachelor's degree
65+,California,"$25,000 to $49,999",White,"Some college, no degree"
25-34,North Carolina,"$50,000 to $74,999",White,"Some college, no degree"
45-54,Texas,"$150,000 or greater",White,"Some college, no degree"
55-64,Pennsylvania,"$50,000 to $74,999",White,Associate's degree
35-44,Georgia,"$25,000 to $49,999",BlackOrAfricanAmerican,No schooling completed
65+,Oklahoma,"Less than $25,000",White,Associate's degree
35-44,Pennsylvania,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
25-34,California,"$25,000 to $49,999",Asian,Associate's degree
25-34,Texas,"Less than $25,000",HispanicOrLatino,"Some college, no degree"
55-64,Wisconsin,"Less than $25,000",White,"9th to 12th grade, no diploma"
55-64,Florida,"$25,000 to $49,999",White,High school graduate (includes equivalency)
55-64,Kentucky,"Less than $25,000",White,"Some college, no degree"
55-64,Washington,"Less than $25,000",White,Associate's degree
25-34,New York,"$100,000 to $149,999",White,Bachelor's degree
65+,Pennsylvania,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,Kentucky,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
55-64,Kentucky,"$50,000 to $74,999",White,Bachelor's degree
18-24,Louisiana,"Less than $25,000",White,No schooling completed
35-44,New York,"$50,000 to $74,999",White,Bachelor's degree
45-54,New York,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
55-64,Virginia,"Less than $25,000",White,No schooling completed
35-44,Virginia,"$150,000 or greater",White,Associate's degree
65+,Florida,"Less than $25,000",White,"Some college, no degree"
55-64,New York,"$50,000 to $74,999",White,Associate's degree
45-54,Minnesota,"Less than $25,000",White,"Some college, no degree"
25-34,Virginia,"$75,000 to $99,999",Other,Associate's degree
65+,Nevada,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,Ohio,"Less than $25,000",White,Associate's degree
65+,Indiana,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
55-64,Texas,"$75,000 to $99,999",White,"Some college, no degree"
55-64,New Jersey,"$100,000 to $149,999",White,Associate's degree
55-64,Texas,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
45-54,Massachusetts,"$50,000 to $74,999",White,Associate's degree
65+,Ohio,"Less than $25,000",HispanicOrLatino,High school graduate (includes equivalency)
65+,Georgia,"$25,000 to $49,999",White,Bachelor's degree
45-54,Texas,"$25,000 to $49,999",White,"9th to 12th grade, no diploma"
18-24,California,"$25,000 to $49,999",Other,High school graduate (includes equivalency)
55-64,Washington,"$75,000 to $99,999",HispanicOrLatino,Bachelor's degree
18-24,Virginia,"Less than $25,000",White,High school graduate (includes equivalency)
25-34,Washington,"$150,000 or greater",White,"Some college, no degree"
25-34,Florida,"$25,000 to $49,999",BlackOrAfricanAmerican,"Some college, no degree"
45-54,Minnesota,"$75,000 to $99,999",White,High school graduate (includes equivalency)
18-24,Wisconsin,"$100,000 to $149,999",HispanicOrLatino,High school graduate (includes equivalency)
55-64,Delaware,"$150,000 or greater",White,High school graduate (includes equivalency)
45-54,Illinois,"$25,000 to $49,999",BlackOrAfricanAmerican,"Some college, no degree"
25-34,Arizona,"$50,000 to $74,999",BlackOrAfricanAmerican,"Graduate degree, professional degree or PhD"
55-64,Texas,"Less than $25,000",HispanicOrLatino,High school graduate (includes equivalency)
55-64,West Virginia,"Less than $25,000",White,No schooling completed
65+,California,"$50,000 to $74,999",White,Associate's degree
65+,Texas,"$25,000 to $49,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,New Hampshire,"$50,000 to $74,999",White,"Some college, no degree"
65+,Oregon,"$25,000 to $49,999",White,Associate's degree
65+,Ohio,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
35-44,Georgia,"$150,000 or greater",White,Bachelor's degree
25-34,Connecticut,"Less than $25,000",White,"Some college, no degree"
65+,California,"$100,000 to $149,999",White,High school graduate (includes equivalency)
55-64,California,"$25,000 to $49,999",BlackOrAfricanAmerican,Bachelor's degree
18-24,Maryland,"$150,000 or greater",Other,High school graduate (includes equivalency)
45-54,New York,"$25,000 to $49,999",White,"Some college, no degree"
55-64,Colorado,"$50,000 to $74,999",White,Associate's degree
65+,New York,"$25,000 to $49,999",White,"Some college, no degree"
55-64,Florida,"Less than $25,000",White,Associate's degree
65+,Illinois,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Louisiana,"$25,000 to $49,999",White,High school graduate (includes equivalency)
18-24,Missouri,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,North Carolina,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
65+,Florida,"$25,000 to $49,999",White,"Some college, no degree"
18-24,Florida,"$150,000 or greater",White,Associate's degree
45-54,Florida,"$100,000 to $149,999",White,"Some college, no degree"
55-64,California,"Less than $25,000",HispanicOrLatino,"Some college, no degree"
18-24,Texas,"$100,000 to $149,999",White,"Some college, no degree"
55-64,Ohio,"$100,000 to $149,999",White,"Some college, no degree"
35-44,North Carolina,"$25,000 to $49,999",BlackOrAfricanAmerican,Bachelor's degree
65+,Nevada,"$150,000 or greater",White,"Some college, no degree"
45-54,Tennessee,"$75,000 to $99,999",White,"Some college, no degree"
35-44,Missouri,"$25,000 to $49,999",Other,"Some college, no degree"
65+,California,"$75,000 to $99,999",White,High school graduate (includes equivalency)
55-64,Oklahoma,"Less than $25,000",White,Associate's degree
35-44,Pennsylvania,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
18-24,Massachusetts,"$150,000 or greater",White,Bachelor's degree
18-24,California,"$150,000 or greater",Asian,High school graduate (includes equivalency)
55-64,Georgia,"Less than $25,000",Other,High school graduate (includes equivalency)
35-44,Georgia,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Texas,"Less than $25,000",White,"Graduate degree, professional degree or PhD"
55-64,California,"$100,000 to $149,999",White,Bachelor's degree
35-44,South Carolina,"$25,000 to $49,999",White,Bachelor's degree
18-24,South Carolina,"$75,000 to $99,999",BlackOrAfricanAmerican,Bachelor's degree
55-64,Kansas,"Less than $25,000",Other,"Some college, no degree"
25-34,Arizona,"$50,000 to $74,999",HispanicOrLatino,"Some college, no degree"
65+,Texas,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,California,"$25,000 to $49,999",White,"Some college, no degree"
35-44,California,"$150,000 or greater",White,Bachelor's degree
65+,North Carolina,"Less than $25,000",White,"Some college, no degree"
65+,New Jersey,"$50,000 to $74,999",White,High school graduate (includes equivalency)
25-34,South Carolina,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,Florida,"$75,000 to $99,999",HispanicOrLatino,Bachelor's degree
65+,Washington,"$50,000 to $74,999",White,"9th to 12th grade, no diploma"
35-44,Mississippi,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,Arizona,"$25,000 to $49,999",White,"Some college, no degree"
18-24,Ohio,"$50,000 to $74,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,Colorado,"$100,000 to $149,999",White,Bachelor's degree
35-44,Ohio,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
55-64,Montana,"Less than $25,000",White,"9th to 12th grade, no diploma"
65+,California,"$75,000 to $99,999",BlackOrAfricanAmerican,"Graduate degree, professional degree or PhD"
45-54,Georgia,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,Indiana,"$100,000 to $149,999",White,High school graduate (includes equivalency)
35-44,Georgia,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
65+,Texas,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,Florida,"$25,000 to $49,999",Other,High school graduate (includes equivalency)
55-64,Ohio,"$150,000 or greater",White,Bachelor's degree
45-54,New Jersey,"Less than $25,000",BlackOrAfricanAmerican,"Some college, no degree"
25-34,Pennsylvania,"$75,000 to $99,999",White,Bachelor's degree
55-64,New York,"$50,000 to $74,999",White,Associate's degree
55-64,Pennsylvania,"Less than $25,000",White,"Some college, no degree"
25-34,California,"$100,000 to $149,999",White,High school graduate (includes equivalency)
18-24,North Carolina,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Rhode Island,"$50,000 to $74,999",White,"Some college, no degree"
65+,Oklahoma,"$25,000 to $49,999",White,"Some college, no degree"
25-34,Washington,"Less than $25,000",Asian,"Some college, no degree"
25-34,Colorado,"Less than $25,000",BlackOrAfricanAmerican,"9th to 12th grade, no diploma"
65+,California,"Less than $25,000",White,"9th to 12th grade, no diploma"
45-54,Georgia,"$150,000 or greater",Other,"Graduate degree, professional degree or PhD"
55-64,Illinois,"$100,000 to $149,999",Other,"Some college, no degree"
65+,Connecticut,"$25,000 to $49,999",White,Associate's degree
45-54,Minnesota,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
45-54,Oklahoma,"$25,000 to $49,999",White,Less than 9th grade
65+,Mississippi,"$50,000 to $74,999",White,Bachelor's degree
45-54,Alabama,"Less than $25,000",White,Bachelor's degree
35-44,New Hampshire,"Less than $25,000",White,Associate's degree
55-64,New York,"$150,000 or greater",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,Utah,"$25,000 to $49,999",White,"Some college, no degree"
65+,Alabama,"$25,000 to $49,999",White,"9th to 12th grade, no diploma"
45-54,New York,"Less than $25,000",BlackOrAfricanAmerican,"Some college, no degree"
65+,South Carolina,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
65+,Texas,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
65+,Indiana,"$25,000 to $49,999",White,"Some college, no degree"
65+,Colorado,"$50,000 to $74,999",White,"Some college, no degree"
65+,Illinois,"$25,000 to $49,999",White,"Some college, no degree"
35-44,Illinois,"$50,000 to $74,999",White,Associate's degree
45-54,Illinois,"$50,000 to $74,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
35-44,Georgia,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
35-44,Michigan,"$25,000 to $49,999",White,Less than 9th grade
35-44,Tennessee,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,California,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,New York,"$50,000 to $74,999",White,Bachelor's degree
65+,Texas,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,California,"Less than $25,000",White,"Some college, no degree"
55-64,Colorado,"$100,000 to $149,999",White,Bachelor's degree
55-64,Arizona,"$50,000 to $74,999",White,"Some college, no degree"
65+,Maryland,"Less than $25,000",White,"Some college, no degree"
55-64,Florida,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
55-64,Massachusetts,"$75,000 to $99,999",White,"Some college, no degree"
55-64,North Carolina,"$25,000 to $49,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
25-34,Virginia,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
45-54,South Dakota,"$50,000 to $74,999",White,High school graduate (includes equivalency)
35-44,New York,"Less than $25,000",White,No schooling completed
65+,Texas,"$50,000 to $74,999",White,"Some college, no degree"
55-64,Tennessee,"$25,000 to $49,999",White,Less than 9th grade
18-24,Tennessee,"Less than $25,000",White,Less than 9th grade
55-64,Arizona,"Less than $25,000",Other,High school graduate (includes equivalency)
55-64,New Mexico,"Less than $25,000",White,Bachelor's degree
65+,Texas,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
35-44,Arkansas,"Less than $25,000",White,"Graduate degree, professional degree or PhD"
25-34,Illinois,"$25,000 to $49,999",White,"Some college, no degree"
65+,Florida,"$75,000 to $99,999",White,Associate's degree
45-54,Missouri,"Less than $25,000",White,"Some college, no degree"
25-34,North Carolina,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
35-44,Louisiana,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
55-64,Alabama,"Less than $25,000",White,"Graduate degree, professional degree or PhD"
55-64,Wisconsin,"$25,000 to $49,999",White,Associate's degree
55-64,North Carolina,"Less than $25,000",White,Associate's degree
18-24,Dc,"$50,000 to $74,999",White,Bachelor's degree
18-24,California,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Pennsylvania,"Less than $25,000",White,"Some college, no degree"
25-34,Pennsylvania,"$25,000 to $49,999",White,"Some college, no degree"
45-54,California,"$25,000 to $49,999",White,"Some college, no degree"
65+,Michigan,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Wisconsin,"$50,000 to $74,999",White,High school graduate (includes equivalency)
55-64,North Carolina,"$25,000 to $49,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,Georgia,"Less than $25,000",Asian,"9th to 12th grade, no diploma"
25-34,Texas,"$25,000 to $49,999",HispanicOrLatino,Bachelor's degree
25-34,Pennsylvania,"$150,000 or greater",White,Bachelor's degree
55-64,Florida,"Less than $25,000",White,Less than 9th grade
65+,Virginia,"$150,000 or greater",White,"Some college, no degree"
18-24,Pennsylvania,"Less than $25,000",White,Associate's degree
55-64,Florida,"$100,000 to $149,999",White,Associate's degree
45-54,Alabama,"Less than $25,000",BlackOrAfricanAmerican,Associate's degree
35-44,New York,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
45-54,Oregon,"$75,000 to $99,999",White,High school graduate (includes equivalency)
55-64,Florida,"$25,000 to $49,999",White,Bachelor's degree
55-64,Illinois,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Ohio,"Less than $25,000",HispanicOrLatino,High school graduate (includes equivalency)
65+,Kansas,"Less than $25,000",White,"9th to 12th grade, no diploma"
65+,Florida,"$50,000 to $74,999",White,High school graduate (includes equivalency)
35-44,Illinois,"Less than $25,000",White,"Some college, no degree"
55-64,California,"$50,000 to $74,999",White,Associate's degree
65+,Texas,"Less than $25,000",BlackOrAfricanAmerican,"Some college, no degree"
55-64,Texas,"$75,000 to $99,999",White,"Some college, no degree"
65+,West Virginia,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,Michigan,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
55-64,Georgia,"$25,000 to $49,999",White,Associate's degree
55-64,Connecticut,"$75,000 to $99,999",White,Bachelor's degree
45-54,California,"$75,000 to $99,999",HispanicOrLatino,High school graduate (includes equivalency)
65+,Georgia,"Less than $25,000",White,"Some college, no degree"
45-54,Illinois,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,Florida,"$25,000 to $49,999",BlackOrAfricanAmerican,Associate's degree
65+,Kansas,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Louisiana,"Less than $25,000",White,"Some college, no degree"
35-44,Nevada,"$100,000 to $149,999",BlackOrAfricanAmerican,Associate's degree
65+,Oklahoma,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,North Carolina,"$100,000 to $149,999",White,Bachelor's degree
55-64,South Carolina,"$25,000 to $49,999",White,"Some college, no degree"
25-34,Oregon,"$75,000 to $99,999",White,"Some college, no degree"
65+,New York,"$75,000 to $99,999",White,"Some college, no degree"
55-64,Texas,"$75,000 to $99,999",White,Bachelor's degree
55-64,Ohio,"$150,000 or greater",White,Bachelor's degree
45-54,New York,"Less than $25,000",White,High school graduate (includes equivalency)
65+,North Carolina,"$50,000 to $74,999",White,Bachelor's degree
18-24,Massachusetts,"$50,000 to $74,999",White,"9th to 12th grade, no diploma"
65+,Mississippi,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
35-44,Florida,"Less than $25,000",White,Less than 9th grade
25-34,California,"$100,000 to $149,999",Other,Bachelor's degree
55-64,Texas,"$25,000 to $49,999",White,Bachelor's degree
25-34,California,"Less than $25,000",White,High school graduate (includes equivalency)
18-24,Texas,"Less than $25,000",HispanicOrLatino,High school graduate (includes equivalency)
55-64,Georgia,"Less than $25,000",White,"Some college, no degree"
45-54,Michigan,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
45-54,North Dakota,"$100,000 to $149,999",White,"Some college, no degree"
55-64,Hawaii,"$75,000 to $99,999",HispanicOrLatino,High school graduate (includes equivalency)
65+,North Carolina,"$25,000 to $49,999",White,"Some college, no degree"
65+,New York,"$75,000 to $99,999",White,"9th to 12th grade, no diploma"
65+,California,"$25,000 to $49,999",White,Associate's degree
18-24,Maryland,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,Illinois,"$75,000 to $99,999",White,Bachelor's degree
25-34,Minnesota,"Less than $25,000",Other,High school graduate (includes equivalency)
55-64,North Carolina,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Maryland,"$25,000 to $49,999",White,"Some college, no degree"
45-54,California,"$150,000 or greater",Other,High school graduate (includes equivalency)
55-64,Ohio,"$50,000 to $74,999",White,High school graduate (includes equivalency)
35-44,Georgia,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Indiana,"$100,000 to $149,999",White,"Some college, no degree"
55-64,Idaho,"$50,000 to $74,999",White,Bachelor's degree
55-64,Mississippi,"$100,000 to $149,999",BlackOrAfricanAmerican,Bachelor's degree
55-64,Michigan,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
25-34,Texas,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,Ohio,"Less than $25,000",BlackOrAfricanAmerican,"9th to 12th grade, no diploma"
25-34,Arkansas,"$75,000 to $99,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
45-54,Illinois,"$50,000 to $74,999",White,"Some college, no degree"
25-34,Ohio,"Less than $25,000",White,Associate's degree
18-24,Missouri,"Less than $25,000",White,Associate's degree
18-24,Minnesota,"$100,000 to $149,999",Asian,"Some college, no degree"
35-44,Kentucky,"$50,000 to $74,999",White,"Some college, no degree"
45-54,Illinois,"$50,000 to $74,999",White,Bachelor's degree
35-44,New York,"$25,000 to $49,999",BlackOrAfricanAmerican,"Some college, no degree"
55-64,California,"Less than $25,000",Other,High school graduate (includes equivalency)
55-64,Minnesota,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
45-54,Minnesota,"$25,000 to $49,999",White,Associate's degree
45-54,Missouri,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
25-34,Virginia,"$25,000 to $49,999",White,Associate's degree
18-24,Maryland,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,Pennsylvania,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
65+,Oklahoma,"Less than $25,000",White,"Some college, no degree"
35-44,Texas,"$25,000 to $49,999",White,High school graduate (includes equivalency)
55-64,Minnesota,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,New Jersey,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
35-44,Alabama,"Less than $25,000",Other,"Some college, no degree"
65+,Oregon,"$50,000 to $74,999",White,High school graduate (includes equivalency)
35-44,Indiana,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,Ohio,"$100,000 to $149,999",White,Bachelor's degree
55-64,California,"$75,000 to $99,999",White,High school graduate (includes equivalency)
55-64,Michigan,"Less than $25,000",White,Associate's degree
55-64,California,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
45-54,Illinois,"$25,000 to $49,999",White,High school graduate (includes equivalency)
45-54,Michigan,"Less than $25,000",Other,"Graduate degree, professional degree or PhD"
65+,Massachusetts,"$75,000 to $99,999",White,High school graduate (includes equivalency)
45-54,Ohio,"Less than $25,000",White,No schooling completed
35-44,South Dakota,"$25,000 to $49,999",White,"Some college, no degree"
65+,Washington,"$100,000 to $149,999",White,"Some college, no degree"
55-64,Illinois,"Less than $25,000",Other,Associate's degree
65+,Indiana,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
65+,Oklahoma,"$25,000 to $49,999",White,Associate's degree
65+,Louisiana,"$150,000 or greater",White,High school graduate (includes equivalency)
45-54,Pennsylvania,"$100,000 to $149,999",White,Associate's degree
45-54,Ohio,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,California,"Less than $25,000",White,"Graduate degree, professional degree or PhD"
45-54,Tennessee,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Missouri,"Less than $25,000",HispanicOrLatino,"Some college, no degree"
55-64,Oregon,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
35-44,Iowa,"Less than $25,000",White,High school graduate (includes equivalency)
25-34,Pennsylvania,"$50,000 to $74,999",White,"Some college, no degree"
35-44,Alabama,"$25,000 to $49,999",White,High school graduate (includes equivalency)
45-54,Georgia,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Nevada,"$75,000 to $99,999",Other,Associate's degree
65+,Illinois,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Minnesota,"$25,000 to $49,999",BlackOrAfricanAmerican,"Some college, no degree"
35-44,New York,"$100,000 to $149,999",White,Bachelor's degree
65+,Maine,"$50,000 to $74,999",White,Bachelor's degree
55-64,North Carolina,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
65+,North Carolina,"$25,000 to $49,999",Other,"Some college, no degree"
45-54,Ohio,"$75,000 to $99,999",White,"Some college, no degree"
65+,Illinois,"Less than $25,000",Other,"9th to 12th grade, no diploma"
55-64,Tennessee,"$50,000 to $74,999",White,Associate's degree
65+,Idaho,"$50,000 to $74,999",White,Bachelor's degree
45-54,Massachusetts,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
18-24,Georgia,"$25,000 to $49,999",BlackOrAfricanAmerican,Bachelor's degree
25-34,Ohio,"Less than $25,000",White,"9th to 12th grade, no diploma"
45-54,California,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
45-54,California,"$100,000 to $149,999",Other,"Some college, no degree"
35-44,Arkansas,"$150,000 or greater",White,No schooling completed
65+,Oklahoma,"Less than $25,000",White,Associate's degree
45-54,Ohio,"Less than $25,000",White,"Some college, no degree"
35-44,Virginia,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,Arkansas,"$25,000 to $49,999",White,Associate's degree
65+,California,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
25-34,Alabama,"$75,000 to $99,999",BlackOrAfricanAmerican,"Some college, no degree"
65+,Florida,"$50,000 to $74,999",White,Bachelor's degree
35-44,Florida,"$75,000 to $99,999",HispanicOrLatino,Associate's degree
55-64,Missouri,"$50,000 to $74,999",BlackOrAfricanAmerican,Bachelor's degree
65+,Maryland,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,California,"$50,000 to $74,999",Other,"Some college, no degree"
55-64,Alabama,"$100,000 to $149,999",White,"Some college, no degree"
55-64,California,"Less than $25,000",White,"9th to 12th grade, no diploma"
55-64,Missouri,"$50,000 to $74,999",White,Bachelor's degree
65+,Tennessee,"Less than $25,000",White,"Some college, no degree"
65+,Missouri,"Less than $25,000",White,"Some college, no degree"
65+,California,"$50,000 to $74,999",White,"Some college, no degree"
45-54,Florida,"Less than $25,000",White,"Some college, no degree"
65+,Missouri,"$25,000 to $49,999",White,High school graduate (includes equivalency)
35-44,Louisiana,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Florida,"$150,000 or greater",Other,Bachelor's degree
25-34,Virginia,"$150,000 or greater",HispanicOrLatino,No schooling completed
45-54,Pennsylvania,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
55-64,Indiana,"$75,000 to $99,999",White,Bachelor's degree
65+,California,"Less than $25,000",White,"Some college, no degree"
65+,South Carolina,"$25,000 to $49,999",BlackOrAfricanAmerican,"Some college, no degree"
55-64,Texas,"$25,000 to $49,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,Missouri,"Less than $25,000",Other,"Graduate degree, professional degree or PhD"
55-64,Indiana,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
65+,California,"$75,000 to $99,999",White,"Some college, no degree"
55-64,Iowa,"Less than $25,000",White,"Some college, no degree"
65+,Illinois,"$75,000 to $99,999",White,"Some college, no degree"
65+,Wisconsin,"Less than $25,000",White,High school graduate (includes equivalency)
