Age,State,Income,Ethnicity,Education
55-64,New Jersey,"$50,000 to $74,999",White,High school graduate (includes equivalency)
45-54,New York,"Less than $25,000",HispanicOrLatino,Bachelor's degree
65+,California,"$75,000 to $99,999",White,"Some college, no degree"
65+,Connecticut,"$75,000 to $99,999",White,"Some college, no degree"
55-64,Hawaii,"$25,000 to $49,999",Other,"Some college, no degree"
45-54,Indiana,"Less than $25,000",White,Associate's degree
45-54,Florida,"$150,000 or greater",BlackOrAfricanAmerican,"Some college, no degree"
35-44,Texas,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
55-64,New Hampshire,"$100,000 to $149,999",White,"Some college, no degree"
55-64,Florida,"$25,000 to $49,999",White,Less than 9th grade
65+,Kansas,"$25,000 to $49,999",White,"Some college, no degree"
35-44,Michigan,"$25,000 to $49,999",White,High school graduate (includes equivalency)
35-44,Florida,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Alabama,"$50,000 to $74,999",White,"Some college, no degree"
45-54,Texas,"$75,000 to $99,999",BlackOrAfricanAmerican,"Some college, no degree"
65+,California,"Less than $25,000",Other,"Some college, no degree"
65+,Wisconsin,"$50,000 to $74,999",White,Associate's degree
45-54,Tennessee,"$100,000 to $149,999",White,Associate's degree
65+,Texas,"$150,000 or greater",BlackOrAfricanAmerican,"Graduate degree, professional degree or PhD"
65+,Michigan,"$75,000 to $99,999",White,Bachelor's degree
65+,North Carolina,"$25,000 to $49,999",White,Associate's degree
65+,Maine,"$50,000 to $74,999",White,Associate's degree
65+,Texas,"Less than $25,000",HispanicOrLatino,"Graduate degree, professional degree or PhD"
45-54,Oregon,"$25,000 to $49,999",White,High school graduate (includes equivalency)
55-64,Florida,"$25,000 to $49,999",White,"9th to 12th grade, no diploma"
35-44,Indiana,"$50,000 to $74,999",BlackOrAfricanAmerican,"Some college, no degree"
55-64,Illinois,"$25,000 to $49,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,North Carolina,"$25,000 to $49,999",White,Associate's degree
65+,Texas,"$25,000 to $49,999",White,"Some college, no degree"
45-54,Ohio,"$50,000 to $74,999",White,Associate's degree
35-44,Wisconsin,"$100,000 to $149,999",White,"Some college, no degree"
65+,California,"$100,000 to $149,999",BlackOrAfricanAmerican,"Some college, no degree"
35-44,Georgia,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Ohio,"$50,000 to $74,999",White,"Some college, no degree"
35-44,Alabama,"$25,000 to $49,999",White,"Some college, no degree"
18-24,Kentucky,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Pennsylvania,"$75,000 to $99,999",White,Bachelor's degree
65+,Pennsylvania,"$25,000 to $49,999",White,"Some college, no degree"
55-64,New York,"$150,000 or greater",Other,Bachelor's degree
55-64,Texas,"Less than $25,000",White,"Some college, no degree"
55-64,Louisiana,"$100,000 to $149,999",White,"Some college, no degree"
55-64,California,"$50,000 to $74,999",White,"Some college, no degree"
65+,Florida,"$75,000 to $99,999",White,"Some college, no degree"
65+,Washington,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
65+,Texas,"Less than $25,000",Other,High school graduate (includes equivalency)
55-64,Florida,"$150,000 or greater",Other,"Graduate degree, professional degree or PhD"
25-34,California,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
35-44,California,"$150,000 or greater",White,High school graduate (includes equivalency)
25-34,Washington,"Less than $25,000",White,High school graduate (includes equivalency)
18-24,Louisiana,"$25,000 to $49,999",BlackOrAfricanAmerican,Bachelor's degree
65+,Nevada,"Less than $25,000",White,"Some college, no degree"
45-54,Texas,"$100,000 to $149,999",BlackOrAfricanAmerican,"Some college, no degree"
55-64,Colorado,"$75,000 to $99,999",White,High school graduate (includes equivalency)
45-54,North Carolina,"$50,000 to $74,999",White,Bachelor's degree
18-24,Texas,"$150,000 or greater",White,High school graduate (includes equivalency)
65+,New York,"Less than $25,000",White,"9th to 12th grade, no diploma"
25-34,Michigan,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
35-44,Ohio,"$25,000 to $49,999",White,"Some college, no degree"
65+,Pennsylvania,"Less than $25,000",White,"9th to 12th grade, no diploma"
65+,Washington,"$25,000 to $49,999",Asian,Bachelor's degree
55-64,Michigan,"$50,000 to $74,999",White,High school graduate (includes equivalency)
55-64,New Jersey,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Pennsylvania,"$75,000 to $99,999",White,Bachelor's degree
